0,1
x86/TSO Operation,RVWMO Mapping
Load,"l{b|h|w|d}; fence r,rw"
Store,"fence rw,w; s{b|h|w|d}"
Atomic RMW,"amo<op>.{w|d}.aqrl OR
loop:lr.{w|d}.aq; <op>; sc.{w|d}.aqrl; bnez loop"
Fence,"fence rw,rw"
