0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
"10000
0",V,X,I,vsaddu,"10000
0",V,X,vdivu,"10000
0",V,F,vfdiv
"10000
1",V,X,I,vsadd,"10000
1",V,X,vdiv,"10000
1",,F,vfrdiv
"10001
0",V,X,,vssubu,"10001
0",V,X,vremu,"10001
0",,,
100011,V,X,,vssub,100011,V,X,vrem,100011,,,
"10010
0",,,,,"10010
0",V,X,vmulhu,"10010
0",V,F,vfmul
100101,V,X,I,vsll,100101,V,X,vmul,100101,,,
100110,,,,,100110,V,X,"vmulhs
u",100110,,,
100111,V,X,,vsmul,100111,V,X,vmulh,100111,,F,vfrsub
100111,,,I,"vmv<n
r>r",,,,,,,,
"10100
0",V,X,I,vsrl,"10100
0",,,,"10100
0",V,F,vfmadd
101001,V,X,I,vsra,101001,V,X,vmadd,101001,V,F,"vfnmad
d"
101010,V,X,I,vssrl,101010,,,,101010,V,F,vfmsub
101011,V,X,I,vssra,101011,V,X,"vnmsu
b",101011,V,F,"vfnmsu
b"
101100,V,X,I,vnsrl,101100,,,,101100,V,F,vfmacc
101101,V,X,I,vnsra,101101,V,X,vmacc,101101,V,F,"vfnmac
c"
101110,V,X,I,vnclipu,101110,,,,101110,V,F,vfmsac
101111,V,X,I,vnclip,101111,V,X,vnmsac,101111,V,F,"vfnmsa
c"
