0,1,2
RV32,RV64,Mnemonic
✓,✓,"mul rd, rs1, rs2"
✓,✓,"mulh rd, rs1, rs2"
✓,✓,"mulhsu rd, rs1, rs2"
✓,✓,"mulhu rd, rs1, rs2"
,✓,"mulw rd, rs1, rs2"
