0,1,2,3
Instruction,Constraints,Code Points,Purpose
LUI,rd=x0,220,
AUIPC,rd=x0,220,
ADDI,"rd=x0, and either rs1≠x0 or
imm≠0",217−1,
ANDI,rd=x0,217,Designated for future
ORI,rd=x0,217,standard use
XORI,rd=x0,217,
ADD,"rd=x0, rs1≠x0",210−32,
ADD,"rd=x0, rs1=x0, rs2≠x2-x5",28,
ADD,"rd=x0, rs1=x0, rs2=x2-x5",4,"(rs2=x2) NTL.P1
(rs2=x3) NTL.PALL
(rs2=x4) NTL.S1
(rs2=x5) NTL.ALL"
SLLI,"rd=x0, rs1=x0, shamt=31",1,Semihosting entry marker
SRAI,"rd=x0, rs1=x0, shamt=7",1,Semihosting exit marker
SUB,rd=x0,210,
AND,rd=x0,210,
OR,rd=x0,210,
XOR,rd=x0,210,
SLL,rd=x0,210,
SRL,rd=x0,210,
SRA,rd=x0,210,Designated for future
FENCE,"rd=x0, rs1≠x0, fm=0, and
either pred=0 or succ=0",210−63,standard use
FENCE,"rd≠x0, rs1=x0, fm=0, and
either pred=0 or succ=0",210−63,
FENCE,"rd=rs1=x0, fm=0, pred=0,
succ≠0",15,
FENCE,"rd=rs1=x0, fm=0, pred≠W,
succ=0",15,
FENCE,"rd=rs1=x0, fm=0, pred=W,
succ=0",1,PAUSE
,,,
SLTI,rd=x0,217,
SLTIU,rd=x0,217,
SLLI,"rd=x0, and either rs1≠x0 or
shamt≠31",210−1,
SRLI,rd=x0,210,"Designated for custom
use"
SRAI,"rd=x0, and either rs1≠x0 or
shamt≠7",210−1,
SLT,rd=x0,210,
SLTU,rd=x0,210,
