0,1,2,3
RV32,RV64,Mnemonic,Instruction
✓,,aes32esi,AES final round encrypt (RV32)
✓,,aes32esmi,AES middle round encrypt (RV32)
,✓,aes64es,AES encrypt final round instruction (RV64)
,✓,aes64esm,AES encrypt middle round instruction (RV64)
,✓,aes64ks1i,AES Key Schedule Instruction 1 (RV64)
,✓,aes64ks2,AES Key Schedule Instruction 2 (RV64)
