0,1,2,3,4,5
Register,Direction,EGW,EGS,EEW,Definition
Vd,input,128,4,32,Current state X[0:3]
Vs2,input,128,4,32,Round keys rk[0:3]
Vd,output,128,4,32,Next state X'[0:3]
