0,1,2,3,4,5,6
000,imm[5],0,,imm[4:0],,01
000,imm[5],rs1/rd≠0,,imm[4:0],,01
001,imm[11|4|9:8|10|6|7|3:1|5],,,,,01
001,imm[5],rs1/rd≠0,,imm[4:0],,01
010,imm[5],rd̸=0,,imm[4:0],,01
011,imm[9],2,,imm[4|6|8:7|5],,01
011,imm[17],"rd≠{0, 2}",,imm[16:12],,01
100,uimm[5],00,rs1ʹ/rdʹ,uimm[4:0],,01
100,uimm[5],01,rs1ʹ/rdʹ,uimm[4:0],,01
100,imm[5],10,rs1ʹ/rdʹ,imm[4:0],,01
100,0,11,rs1ʹ/rdʹ,00,rs2′,01
100,0,11,rs1ʹ/rdʹ,01,rs2′,01
100,0,11,rs1ʹ/rdʹ,10,rs2′,01
100,0,11,rs1ʹ/rdʹ,11,rs2′,01
100,1,11,rs1ʹ/rdʹ,00,rs2′,01
100,1,11,rs1ʹ/rdʹ,01,rs2′,01
100,1,11,---,10,---,01
100,1,11,---,11,---,01
101,imm[11|4|9:8|10|6|7|3:1|5],,,,,01
110,imm[8|4:3],,rs1′,imm[7:6|2:1|5],,01
111,imm[8|4:3],,rs1′,imm[7:6|2:1|5],,01
