0,1
C/C++ Construct,RVWMO Mapping
,bnez loop
"atomic <op>(memory order acquire)
_ _ _",loop:lr.{w|d}.aq; <op>; sc.{w|d};
,bnez loop
"atomic <op>(memory order release)
_ _ _",loop:lr.{w|d}; <op>; sc.{w|d}.rl;
,bnez loop
"atomic <op>(memory order acq rel)
_ _ _ _",loop:lr.{w|d}.aq; <op>; sc.{w|d}.rl;
,bnez loop
"atomic <op>(memory order seq cst)
_ _ _ _",loop:lr.{w|d}.aqrl; <op>;
,sc.{w|d}.rl; bnez loop
