0,1,2,3,4,5
Register,Direction,EGW,EGS,EEW,Definition
uimm,input,-,-,-,Round group (rnd)
Vs2,input,128,4,32,Current 4 round keys rK[0:3]
Vd,output,128,4,32,Next 4 round keys rK'[0:3]
