0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,000,0000,,,rs2,r,s1,0,10,r,d,011,0011,SLT
,000,0000,,,rs2,r,s1,0,11,r,d,011,0011,SLTU
,000,0000,,,rs2,r,s1,1,00,r,d,011,0011,XOR
,000,0000,,,rs2,r,s1,1,01,r,d,011,0011,SRL
,010,0000,,,rs2,r,s1,1,01,r,d,011,0011,SRA
,000,0000,,,rs2,r,s1,1,10,r,d,011,0011,OR
,000,0000,,,rs2,r,s1,1,11,r,d,011,0011,AND
,fm,,pr,ed,succ,r,s1,0,00,r,d,000,1111,FENCE
,1000,,00,11,0011,00,000,0,00,00,000,000,1111,FENCE.TSO
,0000,,00,01,0000,00,000,0,00,00,000,000,1111,PAUSE
,,00000,00000,00,,00,000,0,00,00,000,111,0011,ECALL
,,00000,00000,01,,00,000,0,00,00,000,111,0011,EBREAK
