0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
"01000
0",V,X,I,vadc,"01000
0",V,,"VWXU
NARY0","01000
0",V,,"VWFU
NARY0"
,,,,,"01000
0",,X,"VRXUN
ARY0","01000
0",,F,"VRFUN
ARY0"
"01000
1",V,X,I,vmadc,"01000
1",,,,"01000
1",,,
"01001
0",V,X,,vsbc,"01001
0",V,,"VXUNA
RY0","01001
0",V,,"VFUNA
RY0"
010011,V,X,,vmsbc,010011,,,,010011,V,,"VFUNA
RY1"
"01010
0",,,,,"01010
0",V,,"VMUN
ARY0","01010
0",,,
010101,,,,,010101,,,,010101,,,
010110,,,,,010110,,,,010110,,,
010111,V,X,I,"vmerge
/vmv",010111,V,,"vcompr
ess",010111,,F,"vfmerg
e/vfmv"
"01100
0",V,X,I,vmseq,"01100
0",V,,"vmand
n","01100
0",V,F,vmfeq
011001,V,X,I,vmsne,011001,V,,vmand,011001,V,F,vmfle
011010,V,X,,vmsltu,011010,V,,vmor,011010,,,
011011,V,X,,vmslt,011011,V,,vmxor,011011,V,F,vmflt
011100,V,X,I,vmsleu,011100,V,,vmorn,011100,V,F,vmfne
011101,V,X,I,vmsle,011101,V,,"vmnan
d",011101,,F,vmfgt
011110,,X,I,vmsgtu,011110,V,,vmnor,011110,,,
