0,1,2,3,4
Instruction Group,Extension,EGW,EEW,EGS
AES,Zvkned,128,32,4
SHA256,zvknh[ab],128,32,4
SHA512,zvknhb,256,64,4
GCM,Zvkg,128,32,4
SM4,Zvksed,128,32,4
SM3,Zvksh,256,32,8
