0,1
Edge,Full Name (and explanation)
rf,Reads From (from each store to the loads that return a value written by that store)
co,Coherence (a total order on the stores to each address)
fr,From-Reads (from each load to co-successors of the store from which the load returned a value)
ppo,Preserved Program Order
fence,Orderings enforced by a FENCE instruction
addr,Address Dependency
ctrl,Control Dependency
data,Data Dependency
