0,1,2,3
Instruction,Constraints,Code Points,Purpose
LUI,rd=x0,220,
AUIPC,rd=x0,220,
ADDI,"rd=x0, and either rs1≠`x0` or
imm≠0",217−1,
ANDI,rd=x0,217,Designated for future
ORI,rd=x0,217,standard use
XORI,rd=x0,217,
ADDIW,rd=x0,217,
ADD,"rd=x0, rs1≠`x0`",210−32,
ADD,"rd=x0, rs1=x0, rs2≠ x2 -x5
_ _",28,
ADD,"rd=x0, rs1=x0, rs2=x2-x5",4,"(rs2=x2) NTL.P1
(rs2=x3) NTL.PALL
(rs2=x4) NTL.S1
(rs2=x5) NTL.ALL"
SLLI,"rd=x0, rs1=x0, shamt=31",1,Semihosting entry marker
SRAI,"rd=x0, rs1=x0, shamt=7",1,Semihosting exit marker
