0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
110110,,,,,110110,V,X,"vwsubu
.w",110110,V,F,"vfwsub.
w"
110111,,,,,110111,V,X,"vwsub.
w",110111,,,
111000,,,,,111000,V,X,"vwmul
u",111000,V,F,vfwmul
111001,,,,,111001,,,,111001,,,
111010,,,,,111010,V,X,"vwmuls
u",111010,,,
111011,,,,,111011,V,X,vwmul,111011,,,
111100,,,,,111100,V,X,"vwmac
cu",111100,V,F,"vfwmac
c"
111101,,,,,111101,V,X,"vwmac
c",111101,V,F,"vfwnm
acc"
111110,,,,,111110,,X,"vwmac
cus",111110,V,F,"vfwmsa
c"
111111,,,,,111111,V,X,"vwmac
csu",111111,V,F,"vfwnm
sac"
