0,1
Scenario,Recommended NTL variant
Access to a working set between and in size,NTL.P1
Access to a working set between and in size,NTL.PALL
Access to a working set greater than in size,NTL.S1
"Access with no exploitable temporal locality (e.g., streaming)",NTL.ALL
