0,1,2,3,4,5,6,7,8
000,001,010,011,100,101,110,111,
x8,x9,x10,x11,x12,x13,x14,x15,
s0,s1,a0,a1,a2,a3,a4,a5,
f8,f9,f10,f11,f12,f13,f14,f15,
fs0,fs1,fa0,fa1,fa2,fa3,fa4,fa5,
