0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,R,V64I B,ase I,nstruc,tion S,et (i,n addi,tion to,RV32I),,,
,,imm[,11:0],,,r,s1,1,10,r,d,000,0011,LWU
,,imm[,11:0],,,r,s1,0,11,r,d,000,0011,LD
,imm[,11:5],,r,s2,r,s1,0,11,imm[,4:0],010,0011,SD
,000000,,,shamt,,r,s1,0,01,r,d,001,0011,SLLI
,000000,,,shamt,,r,s1,1,01,r,d,001,0011,SRLI
,010000,,,shamt,,r,s1,1,01,r,d,001,0011,SRAI
,,imm[,11:0],,,r,s1,0,00,r,d,001,1011,ADDIW
,000,0000,,sh,amt,r,s1,0,01,r,d,001,1011,SLLIW
,000,0000,,sh,amt,r,s1,1,01,r,d,001,1011,SRLIW
,010,0000,,sh,amt,r,s1,1,01,r,d,001,1011,SRAIW
,000,0000,,r,s2,r,s1,0,00,r,d,011,1011,ADDW
,010,0000,,r,s2,r,s1,0,00,r,d,011,1011,SUBW
,000,0000,,r,s2,r,s1,0,01,r,d,011,1011,SLLW
,000,0000,,r,s2,r,s1,1,01,r,d,011,1011,SRLW
,010,0000,,r,s2,r,s1,1,01,r,d,011,1011,SRAW
