0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
"11000
0",V,,,"vwreds
umu","11000
0",V,X,vwaddu,"11000
0",V,F,vfwadd
110001,V,,,"vwreds
um",110001,V,X,vwadd,110001,V,,"vfwred
usum"
110010,,,,,110010,V,X,vwsubu,110010,V,F,vfwsub
110011,,,,,110011,V,X,vwsub,110011,V,,"vfwred
osum"
110100,,,,,110100,V,X,"vwaddu
.w",110100,V,F,"vfwadd.
w"
110101,,,,,110101,V,X,"vwadd.
w",110101,,,
