0,1,2,3,4,5,6
Condition,Dividend,Divisor,DIVU[W],REMU[W],DIV[W],REM[W]
"Division by zero
Overflow (signed only)","x
-2L-1","0
−1","2L-1
-","x
-","−1
-2L-1","x
0"
