0,1,2,3,4
vxrm,[1:0],Abbreviation,Rounding Mode,"Rounding increment, r"
0,0,rnu,round-to-nearest-up (add +0.5 LSB),v[d-1]
0,1,rne,round-to-nearest-even,v[d-1] & (v[d-2:0]≠0 | v[d])
1,0,rdn,round-down,0
1,1,rod,"round-to-odd (OR bits into LSB, aka ""jam"")",!v[d] & v[d-1:0]≠0
