0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
000111,V,X,,vmax,000111,V,,"vredma
x",000111,V,,"vfredm
ax"
"00100
0",,,,,"00100
0",V,X,vaaddu,"00100
0",V,F,vfsgnj
"00100
1",V,X,I,vand,"00100
1",V,X,vaadd,"00100
1",V,F,vfsgnjn
"00101
0",V,X,I,vor,"00101
0",V,X,vasubu,"00101
0",V,F,vfsgnjx
001011,V,X,I,vxor,001011,V,X,vasub,001011,,,
"00110
0",V,X,I,"vrgathe
r","00110
0",,,,"00110
0",,,
001101,,,,,001101,,,,001101,,,
001110,,X,I,"vslideu
p",001110,,X,"vslide1
up",001110,,F,"vfslide1
up"
001110,V,,,"vrgathe
rei16",,,,,,,,
001111,,X,I,"vslided
own",001111,,X,"vslide1
down",001111,,F,"vfslide1
down"
