0,1,2,3
Instruction,Constraints,Code Points,Purpose
SUB,rd=x0,210,
AND,rd=x0,210,
OR,rd=x0,210,
XOR,rd=x0,210,
SLL,rd=x0,210,
SRL,rd=x0,210,
SRA,rd=x0,210,
ADDW,rd=x0,210,
SUBW,rd=x0,210,
SLLW,rd=x0,210,"Designated for future
standard use"
SRLW,rd=x0,210,
SRAW,rd=x0,210,
FENCE,"rd=x0, rs1≠x0, fm=0, and
either pred=0 or succ=0",210−63,
FENCE,"rd≠x0, rs1=x0, fm=0, and
either pred=0 or succ=0",210−63,
FENCE,"rd=rs1=x0, fm=0, pred=0,
succ≠0",15,
FENCE,"rd=rs1=x0, fm=0, pred≠W,
succ=0",15,
FENCE,"rd=rs1=x0, fm=0, pred=W,
succ=0",1,PAUSE
SLTI,rd=x0,217,
SLTIU,rd=x0,217,
SLLI,"rd=x0, and either rs1≠x0 or
shamt≠31",211−1,
SRLI,rd=x0,211,
SRAI,"rd=x0, and either rs1≠x0 or
shamt≠7",211−1,Designated for custom use
SLLIW,rd=x0,210,
SRLIW,rd=x0,210,
SRAIW,rd=x0,210,
SLT,rd=x0,210,
SLTU,rd=x0,210,
