0,1,2
Operation,Instruction sequence,Length
"Conditional add, if zero
rd = (rc == 0) ? (rs1 + rs2) : rs1","czero.nez rd, rs2, rc
add rd, rs1, rd",
"Conditional add, if non-zero
rd = (rc != 0) ? (rs1 + rs2) : rs1","czero.eqz rd, rs2, rc
add rd, rs1, rd",
"Conditional subtract, if zero
rd = (rc == 0) ? (rs1 - rs2) : rs1","czero.nez rd, rs2, rc
sub rd, rs1, rd",
"Conditional subtract, if non-zero
rd = (rc != 0) ? (rs1 - rs2) : rs1","czero.eqz rd, rs2, rc
sub rd, rs1, rd",
"Conditional bitwise-or, if zero
rd = (rc == 0) ? (rs1 | rs2) : rs1","czero.nez rd, rs2, rc
or rd, rs1, rd",2 insns
"Conditional bitwise-or, if non-zero
rd = (rc != 0) ? (rs1 | rs2) : rs1","czero.eqz rd, rs2, rc
or rd, rs1, rd",
"Conditional bitwise-xor, if zero
rd = (rc == 0) ? (rs1 ^ rs2) : rs1","czero.nez rd, rs2, rc
xor rd, rs1, rd",
"Conditional bitwise-xor, if non-zero
rd = (rc != 0) ? (rs1 ^ rs2) : rs1","czero.eqz rd, rs2, rc
xor rd, rs1, rd",
"Conditional bitwise-and, if zero
rd = (rc == 0) ? (rs1 & rs2) : rs1","and rd, rs1, rs2
czero.eqz rtmp, rs1, rc
or rd, rd, rtmp",
"Conditional bitwise-and, if non-zero
rd = (rc != 0) ? (rs1 & rs2) : rs1","and rd, rs1, rs2
czero.nez rtmp, rs1, rc
or rd, rd, rtmp",3 insns
"Conditional select, if zero
rd = (rc == 0) ? rs1 : rs2","czero.nez rd, rs1, rc
czero.eqz rtmp, rs2, rc
add rd, rd, rtmp",(requires 1 temporary)
"Conditional select, if non-zero
rd = (rc != 0) ? rs1 : rs2","czero.eqz rd, rs1, rc
czero.nez rtmp, rs2, rc
add rd, rd, rtmp",
