0,1,2,3,4,5,6,7,8,9,10,11,12
Integer,,,,,Integer,,,,FP,,,
funct3,,,,,funct3,,,,funct3,,,
OPIVV,V,,,,"OPMV
V",V,,,OPFVV,V,,
OPIVX,,X,,,"OPMV
X",,X,,OPFVF,,F,
OPIVI,,,I,,,,,,,,,
