0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
"00000
0",V,X,I,vadd,"00000
0",V,,"vredsu
m","00000
0",V,F,vfadd
"00000
1",,,,,"00000
1",V,,"vredan
d","00000
1",V,,"vfredus
um"
"00001
0",V,X,,vsub,"00001
0",V,,vredor,"00001
0",V,F,vfsub
"00001
1",,X,I,vrsub,"00001
1",V,,vredxor,"00001
1",V,,"vfredos
um"
"00010
0",V,X,,vminu,"00010
0",V,,"vredmi
nu","00010
0",V,F,vfmin
"00010
1",V,X,,vmin,"00010
1",V,,"vredmi
n","00010
1",V,,"vfredm
in"
"00011
0",V,X,,vmaxu,"00011
0",V,,"vredma
xu","00011
0",V,F,vfmax
