0,1
"Store memv(mem value, store continuation)
_ _ _",- memory store value
"Fence(kind, next state)
_",- fence
"Read reg(reg name, read continuation)
_ _ _",- register read
"Write reg(reg name, reg value, next state)
_ _ _ _",- register write
"Internal(next state)
_",- pseudocode internal step
Done,- end of pseudocode
