0,1,2,3,4,5
Register,Direction,EGW,EGS,EEW,Definition
Vd,input,128,4,32,Previous Round key
uimm,input,-,-,-,Round Number (rnd)
Vs2,input,128,4,32,Current Round key
Vd,output,128,4,32,Next round key
