0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,RV,32F,Stand,ard,Extensio,n,,,
,,imm[,11:0],,,r,s1,0,10,r,d,000,0111,FLW
,imm[1,1:5],,r,s2,r,s1,0,10,imm[,4:0],010,0111,FSW
r,s3,0,0,r,s2,r,s1,r,m,r,d,100,0011,FMADD.S
r,s3,0,0,r,s2,r,s1,r,m,r,d,100,0111,FMSUB.S
r,s3,0,0,r,s2,r,s1,r,m,r,d,100,1011,FNMSUB.S
r,s3,0,0,r,s2,r,s1,r,m,r,d,100,1111,FNMADD.S
,0000,000,,r,s2,r,s1,r,m,r,d,101,0011,FADD.S
,0000,100,,r,s2,r,s1,r,m,r,d,101,0011,FSUB.S
,0001,000,,r,s2,r,s1,r,m,r,d,101,0011,FMUL.S
,0001,100,,r,s2,r,s1,r,m,r,d,101,0011,FDIV.S
,0101,100,,00,000,r,s1,r,m,r,d,101,0011,FSQRT.S
,0010,000,,r,s2,r,s1,0,00,r,d,101,0011,FSGNJ.S
,0010,000,,r,s2,r,s1,0,01,r,d,101,0011,FSGNJN.S
,0010,000,,r,s2,r,s1,0,10,r,d,101,0011,FSGNJX.S
,0010,100,,r,s2,r,s1,0,00,r,d,101,0011,FMIN.S
,0010,100,,r,s2,r,s1,0,01,r,d,101,0011,FMAX.S
,1100,000,,00,000,r,s1,r,m,r,d,101,0011,FCVT.W.S
,1100,000,,00,001,r,s1,r,m,r,d,101,0011,FCVT.WU.S
,1110,000,,00,000,r,s1,0,00,r,d,101,0011,FMV.X.W
,1010,000,,r,s2,r,s1,0,10,r,d,101,0011,FEQ.S
,1010,000,,r,s2,r,s1,0,01,r,d,101,0011,FLT.S
,1010,000,,r,s2,r,s1,0,00,r,d,101,0011,FLE.S
,1110,000,,00,000,r,s1,0,01,r,d,101,0011,FCLASS.S
,1101,000,,00,000,r,s1,r,m,r,d,101,0011,FCVT.S.W
,1101,000,,00,001,r,s1,r,m,r,d,101,0011,FCVT.S.WU
,1111,000,,00,000,r,s1,0,00,r,d,101,0011,FMV.W.X
