0,1,2,3
RV32,RV64,Mnemonic,Instruction
✓,✓,"czero.eqz rd, rs1, rs2","Conditional zero, if condition is equal to zero"
✓,✓,"czero.nez rd, rs1, rs2","Conditional zero, if condition is nonzero"
