0,1,2,3,4,5,6,7
,,,,SEW/LMUL,,,
,1,2,4,8,16,32,64
SEW= 8,8,4,2,1,1/2,1/4,1/8
SEW= 16,,8,4,2,1,1/2,1/4
SEW= 32,,,8,4,2,1,1/2
SEW= 64,,,,8,4,2,1
