0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,RV,32D,Stand,ard,Extensio,n,,,
,,imm[,11:0],,,r,s1,0,11,r,d,000,0111,FLD
,imm[1,1:5],,r,s2,r,s1,0,11,imm[,4:0],010,0111,FSD
r,s3,0,1,r,s2,r,s1,r,m,r,d,100,0011,FMADD.D
r,s3,0,1,r,s2,r,s1,r,m,r,d,100,0111,FMSUB.D
r,s3,0,1,r,s2,r,s1,r,m,r,d,100,1011,FNMSUB.D
r,s3,0,1,r,s2,r,s1,r,m,r,d,100,1111,FNMADD.D
,0000,001,,r,s2,r,s1,r,m,r,d,101,0011,FADD.D
,0000,101,,r,s2,r,s1,r,m,r,d,101,0011,FSUB.D
,0001,001,,r,s2,r,s1,r,m,r,d,101,0011,FMUL.D
,0001,101,,r,s2,r,s1,r,m,r,d,101,0011,FDIV.D
,0101,101,,00,000,r,s1,r,m,r,d,101,0011,FSQRT.D
,0010,001,,r,s2,r,s1,0,00,r,d,101,0011,FSGNJ.D
,0010,001,,r,s2,r,s1,0,01,r,d,101,0011,FSGNJN.D
,0010,001,,r,s2,r,s1,0,10,r,d,101,0011,FSGNJX.D
,0010,101,,r,s2,r,s1,0,00,r,d,101,0011,FMIN.D
,0010,101,,r,s2,r,s1,0,01,r,d,101,0011,FMAX.D
,0100,000,,00,001,r,s1,r,m,r,d,101,0011,FCVT.S.D
,0100,001,,00,000,r,s1,r,m,r,d,101,0011,FCVT.D.S
,1010,001,,r,s2,r,s1,0,10,r,d,101,0011,FEQ.D
,1010,001,,r,s2,r,s1,0,01,r,d,101,0011,FLT.D
,1010,001,,r,s2,r,s1,0,00,r,d,101,0011,FLE.D
,1110,001,,00,000,r,s1,0,01,r,d,101,0011,FCLASS.D
,1100,001,,00,000,r,s1,r,m,r,d,101,0011,FCVT.W.D
,1100,001,,00,001,r,s1,r,m,r,d,101,0011,FCVT.WU.D
,1101,001,,00,000,r,s1,r,m,r,d,101,0011,FCVT.D.W
,1101,001,,00,001,r,s1,r,m,r,d,101,0011,FCVT.D.WU
