0,1,2,3,4,5,6,7
Format,Sign Bits,Expo Bits,fraction bits,padded 0s,encoding bits,expo max/bias,expo min
FP16,1,5,10,0,16,15,-14
BF16,1,8,7,0,16,127,-126
TF32,1,8,10,13,32,127,-126
FP32,1,8,23,0,32,127,-126
