0,1,2,3,4,5
Register,Direction,EGW,EGS,EEW,Definition
Vd,input,4*SEW,4,SEW,"Message words {W[3], W[2], W[1], W[0]}"
Vs2,input,4*SEW,4,SEW,"Message words {W[11], W[10], W[9], W[4]}"
Vs1,input,4*SEW,4,SEW,"Message words {W[15], W[14], -, W[12]}"
Vd,output,4*SEW,4,SEW,"Message words {W[19], W[18], W[17], W[16]}"
